width,length,x,Vmax
234,966,54.52483,5838313.58381
 98,353,22.56229,367292.46969
184,607,41.98502,2196600.23744
918,807,142.85984,47085930.04262
838, 61,14.96221,375722.29952
977,918,157.68714,62871861.54213
860,541,107.99857,22604400.00264
595,532,93.47734,13161060.57436
269,149,30.76439,558304.78867
 27,676,6.68113,60376.57817
983, 38,9.40633,174018.89518
197,  8,1.97887,1544.16570
986,783,144.53290,49753952.96258
627,  7,1.74496,3818.96757
703,672,114.49589,24042939.02197
963, 73,17.89085,617404.08868
119,930,28.73672,1542689.36754
960,368,81.51749,13315878.01863
360,483,68.04121,5285505.48991
536,108,25.50137,704947.50227
334, 11,2.72675,4968.91061
917,473,99.28696,19574905.99410
954,175,41.55760,3325483.85431
185,975,43.84570,3785758.64839
789,784,131.08125,36037324.41129
955,574,116.05574,28682861.19216
460,629,87.52868,11321625.93647
290,963,66.21887,8665750.08685
584,204,45.77359,2534836.51605
159,867,37.75858,2494907.05789
371,681,76.90796,8805652.97336
 46, 69,9.02333,12852.07363
323,439,61.32954,3886822.82497
693,269,59.47673,5122950.64786
386, 18,4.44610,15270.67475
244,610,53.70224,3686782.09804
937,761,139.23767,44243380.57118
 12,126,2.92449,2161.34821
733,168,39.31517,2299182.35897
800,928,142.81957,47188340.64087
477,340,65.26965,4736612.02213
916,765,138.39789,43188749.70294
 50,745,12.28308,225067.77600
590, 80,19.27545,440580.28855
577,238,52.12618,3295880.04084
 83,504,19.82444,399068.77493
638, 68,16.52253,349388.12297
846,730,130.27028,35804716.22214
210,174,31.58047,513988.04628
452,463,76.23330,7090849.93747
169,101,20.45189,157440.66615
930,542,110.48724,25148584.75971
179,544,40.46495,1837648.16882
717,594,107.81678,20452868.50707
729,757,123.76730,30358876.38775
769,132,31.46092,1534493.16284
721,903,132.80724,38548116.37707
828,942,146.58495,50867010.38250
954,147,35.22399,2382469.38332
 42,935,10.37934,201563.59048
401,386,65.54741,4509676.78498
942,565,114.30097,27430600.96983
477,798,96.58721,16580640.60771
638,634,105.99831,19055832.00313
513,947,106.48712,23451300.26855
260,954,59.96479,7005602.10754
895, 61,14.98115,402225.60980
487,503,82.46753,8978971.03418
348, 36,8.75486,53499.70464
387,837,83.07533,12308161.25945
134,511,31.01399,1002168.18408
193,528,43.04304,2033643.72816
815,183,42.89082,3040676.61793
392,658,79.44709,9243229.69333
373,838,80.63562,11553708.79998
556,559,92.91552,12834937.92935
376,440,67.37523,4961600.27355
715,464,91.78320,13678618.95763
793,905,140.57947,44888074.81837
745,712,121.32317,28605762.51789
253,851,57.84886,5840344.51810
246,214,38.05574,891481.45755
508, 96,22.75772,531354.74565
879,417,89.07177,14910978.86909
 38,380,9.25030,65205.56266
386,780,81.74794,11213749.69258
771,735,125.39238,31585857.42130
392,550,75.25430,7260063.58199
647,689,111.16830,22030762.96701
926,927,154.41652,58911789.88657
328, 41,9.90921,64685.07142
187, 24,5.79456,12614.77672
 82,477,19.54226,367264.59106
 39,778,9.62463,144233.63291
752,726,123.10940,29874257.73767
150,319,32.09549,701765.07386
796,485,97.69582,16993328.37504
207,103,21.78824,211589.97392
132,484,30.44153,916009.44404
414,854,88.04991,14200035.70048
632,872,120.63409,29729908.60840
590,386,76.16732,7789421.13028
999,154,36.90060,2738018.37684
 44,455,10.72091,104853.53880
 90, 15,3.57965,2325.08676
569, 36,8.85297,89285.80217
777,910,139.27861,43836284.34026
612, 98,23.43969,677156.62235
723,135,32.02579,1497248.89363
286,903,64.94297,7838225.18135
300,365,54.62787,2664843.07678
597,811,113.33563,24525119.26766
775,775,129.16657,34480324.07406
209,671,47.54778,3119042.73067
997,589,119.64037,31703384.26653
 49,762,12.04659,221403.22164
799,658,119.72273,28039553.40246
484,850,99.25286,18460822.57544
205,680,46.80437,3057208.15247
507,331,65.35615,4925618.39708
808,686,123.26075,30415542.74018
438,900,93.08070,16733314.17902
886,997,156.10080,61337659.26544
555,745,104.91596,19380384.44258
965,181,42.92702,3590724.44115
617,532,94.96706,13873231.24682
618,279,60.15922,4750947.24240
 65,243,15.01685,111825.12898
202,556,45.08800,2348647.58058
119,388,27.11874,586179.75162
670,299,64.60774,5932078.53614
887,815,141.45303,45467915.75104
392,730,81.53740,10582206.28238
204,543,45.32124,2323988.28332
375,650,76.64441,8440574.62711
650,684,111.05828,21948700.55467
191,204,32.86283,569257.39069
812,404,85.46398,12769683.31363
 35,241,8.40865,34275.73248
532,241,51.93262,3049076.16796
993,834,150.52995,55509819.66690
 99,138,18.96281,115900.32897
591,252,54.88881,3756622.66116
703,917,131.51134,37840440.21720
799,582,110.89714,23056935.10683
198,403,41.99548,1527372.01286
387,518,73.08232,6544602.35018
  4, 20,0.94064,36.10975
221,309,42.37625,1294728.39968
646,502,93.43473,13518702.48375
473,557,84.98110,9967185.36558
829,719,128.02651,33958273.10407
857,787,136.62784,40974050.99078
680,628,108.74178,20646867.27359
 48, 59,8.77496,11075.38818
186,225,33.79012,629902.24560
767,464,93.64961,15021740.01358
905,856,146.57958,50477465.19263
981,311,70.61216,10067421.88424
282,684,61.76782,5485824.07112
111,291,24.60571,367603.72236
930,239,55.41471,5818188.14240
184, 65,14.56286,80911.29801
326,783,71.29089,8374139.47831
 12,852,2.98927,15228.19147
552,184,41.53014,1965814.39357
594, 51,12.46435,184926.43862
540,505,86.93678,10539706.16341
958,934,157.62854,62687708.81380
 45,745,11.07485,182927.13167
176,647,40.59862,2177696.30577
969, 46,11.36018,250253.96594
907,435,92.71609,16696323.48381
398,792,84.01738,12055680.41983
430,493,76.38085,7204783.15083
425, 49,11.87617,120312.30614
203,874,47.45793,3996272.79151
509,892,104.32334,21412098.29981
158,874,37.55165,2486891.82040
457, 42,10.24739,96193.69263
943,480,101.04888,20805801.91722
218,431,45.95557,1964845.45941
871,687,127.14477,33929480.38541
832,522,104.28516,20377462.62418
732,294,64.66550,6417462.51989
847,781,135.33253,39804525.70452
792,388,82.34343,11535266.06877
307, 25,6.11728,23018.16565
915,819,143.83707,47942974.17365
655,724,114.48580,24144615.27472
677,947,129.83383,37242316.59317
119,515,27.83103,809702.59685
673,814,122.25645,29832759.25219
865,823,140.53601,44472186.20195
 97, 94,15.90995,64481.51807
166,947,39.52018,2982882.71934
348,717,73.99504,8421200.02897
776,342,74.06519,9015573.74590
542, 31,7.63585,63259.51026
872,485,100.03954,19152002.37804
188,182,30.82075,468731.81392
972,794,144.94078,49840566.26925
760,871,134.97555,39756150.97435
305,493,61.17654,4141499.93896
368,154,33.64872,877278.71915
462,171,38.07021,1393464.01248
310,949,70.14003,9627132.92219
215,394,44.55170,1710136.84299
832,853,140.38387,44281688.68984
709,556,103.12824,18133171.30364
996, 10,2.49362,12387.57882
788,865,137.30228,41617189.73735
334,921,74.57016,10640097.97306
815,597,113.53205,24693061.51106
438,541,80.23967,8473497.29050
987, 97,23.62457,1104529.28928
 64,830,15.67949,408740.11879
728,746,122.80576,29643055.53862
927,583,116.39144,28297869.09229
629,478,89.71018,12042275.35314
242,750,54.83385,4646436.53754
238,953,55.31792,5934893.88509
 85,590,20.42878,495203.58029
577,862,113.05708,25225672.97379
270,571,57.70928,4064143.44013
 14,310,3.45933,7424.49021
165,225,31.36555,520513.24400
327,928,73.28908,10332702.43927
914,898,150.98226,55077552.56509
971, 90,21.95418,938127.88819
210, 17,4.16009,7282.42282
962,563,114.64288,28032153.23616
339,487,65.59457,4850151.76781
517,421,76.94786,7462919.57321
688,502,95.59676,14761160.07594
643,944,125.29652,34092897.06716
326,619,68.11259,6240373.63792
 26, 55,5.55584,3630.31560
996,721,137.67968,44215382.60182
357,729,75.77037,8989726.46761
885,979,154.74183,59624749.55975
 61,884,14.97769,397110.84439
185,161,28.62554,379397.53933
673, 23,5.69992,43744.99198
 60,117,12.60988,40252.48689
946,210,49.26001,4653940.48791
469,737,93.31245,14501895.37206
789,461,93.91282,15422872.40569
657,772,117.93195,26627414.65892
952,409,88.97089,15912667.39287
616, 86,20.69653,530482.22487
321,971,72.52500,10539761.07881
787,523,102.70727,18970349.70755
608,754,111.56015,22794507.53134
701,119,28.37900,1137966.98289
660,288,62.48023,5450312.94170
452,596,84.89397,10211232.07329
847,357,77.91127,10833509.56666
649,619,105.57786,18853279.71920
348,946,77.54304,11831385.58369
180,535,40.58092,1820319.20152
798,591,111.95597,23593698.76743
445,810,92.06321,15031517.63471
363,571,72.24373,6732995.59995
 23,182,5.55629,11287.10604
979,525,109.23628,25465437.87760
547,257,54.99931,3533145.00024
265,464,54.30172,3018241.61091
 13,676,3.23411,14143.52075
773,102,24.60262,940129.35476
681,130,30.79927,1304902.36844
529,739,101.40508,17735715.85166
 47,115,10.30840,25669.26477
898,621,120.41921,30084040.36990
744, 50,12.28277,224755.37015
913,836,145.32679,49323097.55470
496,220,47.58978,2380944.47069
858,566,111.40424,24285271.32446
409,674,82.47904,10246170.51036
926,125,30.12339,1688726.54310
650,639,107.40481,19827311.64736
 42,544,10.28931,115367.94465
273,653,59.65993,4893071.12357
700,448,88.98522,12543660.26381
215,205,34.96988,685125.37186
500,339,66.15575,5027637.50947
289,770,64.21416,6615229.90669
 73,503,17.53912,311221.45351
841,317,70.39246,8685616.97733
246,311,45.47772,1551550.27500
435,435,72.49982,6097249.99997
444,626,85.37741,10620399.21817
929,514,106.15675,22952643.67402
575,162,37.24389,1631317.22401
821,251,57.22030,5521033.83881
895, 42,10.37382,192744.80675
302,922,68.30785,8872522.53082
625,636,105.07122,18562956.41982
742,644,114.63695,24376503.74221
732, 66,16.11106,380817.33881
961,524,108.60217,24782285.43247
477,630,89.64339,12028644.46114
457,834,94.60457,16335285.85557
616,599,101.22015,16600217.01146
481,786,96.77311,16480758.55253
279,535,58.42212,3961391.59637
930,118,28.50419,1517710.53206
953,782,142.49168,47309430.11944
429,326,61.18387,3820334.30892
748,403,83.76058,11449274.21092
555,969,113.64411,27623211.03510
629,181,41.52482,2220582.69879
540, 88,21.02973,481068.89650
575,569,95.32927,13862049.27694
130,115,20.30155,135022.60908
217,682,49.24894,3405378.93853
514,756,100.21801,17458463.67128
523,352,68.85247,5684930.04789
447, 55,13.30058,158793.48846
454,303,59.42422,3667584.57355
773,676,119.94092,27886565.07187
329,829,72.49851,9124560.00275
376,703,78.28177,9386616.92737
728,801,126.98165,32928306.51104
752,723,122.84531,29687561.25249
983,230,53.73974,5764620.49694
342,431,63.14807,4150457.34083
126,450,28.98488,773024.17906
972,103,25.03127,1221651.81849
682,742,118.35097,26629944.15313
289,686,63.07612,5750646.93726
252,223,39.36230,984033.00268
605,981,121.45791,32459457.02419
786,459,93.51853,15233768.47534
228,855,52.69047,4843180.72832
 58,750,14.20864,303303.02251
 46,149,10.47480,33600.15988
 29,649,7.16707,66710.51885
630,897,121.54220,30751409.85508
490,948,102.80858,21705044.09145
667,675,111.82726,22376855.97360
720,395,81.74658,10531832.07610
295,630,63.17278,5366120.67237
594,500,90.16246,11923229.25903
189,842,44.29816,3350912.25261
722,315,68.33986,7132937.09240
407,149,33.22296,934034.57538
 25,669,6.19040,51293.71017
 18,449,4.45382,17821.86350
402,716,82.72765,10773492.05139
625,328,68.58523,6384755.89569
624, 67,16.27589,331610.49064
943,530,109.04082,24655802.74080
412,314,58.86821,3399828.89944
 73, 79,12.63606,32402.87370
573,239,52.24972,3292442.31249
684,811,123.24187,30438898.53478
785,820,133.65453,38241647.41790
524,158,36.07283,1399396.96290
579,109,25.84539,781039.41778
980, 14,3.48733,23838.80843
242,125,26.23024,360642.34497
 10,997,2.49362,12400.07874
502,796,100.14038,17999227.52969
509,544,87.60456,10784036.56730
451,680,88.62203,12197264.89247
246,459,51.19181,2621837.36281
 55,247,12.89823,83321.61686
509,907,104.75935,21882406.07797
 27,533,6.66219,47347.42686
754,238,54.06427,4534925.53698
181,816,42.45981,2982482.38534
200,377,41.71742,1427547.99574
591,665,104.12297,18203243.13738
892, 63,15.46193,427058.48831
562,438,81.43285,8942592.09002
652,407,81.42840,9724259.82505
307,678,66.16044,6306330.33995
 26,177,6.24311,13879.70107
 32,115,7.36496,12753.69725
257,911,59.07702,6503402.67642
 54,286,12.80168,94660.61001
210, 40,9.47758,38104.68707
599,368,73.95780,7342281.85054
189, 70,15.58248,95513.28007
916,737,135.34791,40727273.84322
125,707,29.74520,1261734.71619
120,340,26.88912,509659.30326
915,982,157.78773,63031657.53023
918,599,118.29256,29212926.37511
452,379,68.45281,5221756.85700
579,981,117.63857,30153352.85801
930,693,130.99095,37715948.13439
904,416,89.38087,15378359.70412
763,942,139.75330,44764545.33240
917,918,152.91652,57211608.76157
610,146,34.05241,1437387.04766
 28, 59,5.97887,4512.03894
752,586,108.95458,21419810.80955
256,716,57.26529,4872676.61114
123,757,29.39823,1317838.53987
609,132,31.01608,1186990.29189
253,751,57.02972,5046952.17853
  3,638,0.74900,716.06348
525,471,82.63468,9088218.19839
591,476,87.38047,10956415.46388
884,102,24.72148,1084329.79151
845,888,144.28328,48124939.36819
209,578,46.68065,2616123.16556
127,263,27.03147,411939.46115
866,204,47.63979,3991883.19898
772,287,63.85628,6553371.86664
587,634,101.52398,16798656.71103
720,274,60.75971,5544728.55912
398,  6,1.49411,1777.52560
485,760,96.41621,15976935.33116
698,571,104.17289,18498518.57028
 64, 15,3.50295,1596.00194
187,436,40.69021,1524042.50154
302,573,63.08741,4956343.61735
342, 22,5.40845,20031.02599
421,749,86.61361,12356368.82921
600,931,118.93138,29853061.67557
389,441,68.76044,5247704.78181
994,369,82.11764,13952324.13108
566,807,109.24563,22342034.71363
100,128,18.57426,106061.81033
631, 13,3.23297,13192.91976
517,249,53.02718,3114969.66998
629,106,25.28833,810697.16330
805,444,91.76913,14854394.32952
338,339,56.41625,2873029.71989
 15, 73,3.53620,1848.18659
847, 61,14.96538,379906.95107
932,768,139.70255,44544792.30394
521,435,78.70526,7943612.86035
723,481,94.42691,14735202.78728
998, 50,12.33942,304112.66650
 13,840,3.23724,17607.95518
856,380,82.18821,12256756.71484
214, 95,20.54666,191511.82360
956,455,97.12663,19291580.60643
183,416,39.64429,1384411.09523
196,846,45.83030,3607180.10578
604,207,46.56050,2708814.91088
660,573,101.98538,17162928.26084
161,430,35.78550,1147066.52183
840,308,68.66113,8234628.78420
933,121,29.20489,1598698.87545
351,378,60.62492,3576166.44529
  5,853,1.24807,2657.81823
392,881,84.74851,13416666.56544
243,462,50.78587,2588796.60356
681,772,120.37291,28153643.56045
108, 65,13.13660,41577.56808
243,279,43.19046,1302962.15689
846,364,79.16169,11196550.49789
344,101,23.12368,376979.41473
612,398,78.67768,8607951.54122
 77,545,18.52138,375920.47360
 96,934,23.35123,1021419.83455
335,472,64.40286,4557448.90376
693,115,27.45712,1052702.35192
193, 43,10.08348,39792.47459
652,937,126.17409,34524050.50130
638,940,124.46351,33465477.70211
742, 84,20.37158,617954.66382
 18,449,4.45382,17821.86350
735, 46,11.31429,188373.10377
595,703,107.04906,19935066.17138
806,374,80.23012,11059594.10872
253,340,47.84588,1838798.47060
572,176,40.09439,1889289.07422
321,  1,0.24956,40.06249
904,286,64.95116,7848363.80202
654,668,110.14802,21387549.02808
 68,342,16.06986,178563.08414
723,430,87.18784,12227372.53443
245,592,53.63028,3580772.53815
550,423,79.03693,8206521.37192
975,459,98.19064,20078007.49713
622, 29,7.16339,63872.53058
631,937,123.40381,32722575.28120
354,904,78.16710,11552156.13006
 11,256,2.71951,3789.26896
886,458,96.09238,17721997.13075
318,937,71.61588,9934947.20492
234,690,52.70328,3961962.82608
655,309,66.07516,6109692.43676
364,524,70.47995,6021334.86795
580,398,77.37080,8003829.60273
405,699,82.68477,10573241.58927
898,918,151.30572,55437705.96915
701,404,82.59377,10568590.74940
594,277,59.36523,4465493.64998
734,214,49.03047,3615025.22334
750,203,46.84872,3360718.69330
113,468,26.33709,659872.38348
891,195,45.78803,3785734.79662
 40,813,9.87386,158625.21265
401,944,87.39903,15206991.69725
838,843,140.08138,43981571.16089
 56,134,12.23806,42253.34196
223,714,50.71737,3776752.89931
152,212,29.12087,419809.57547
 82,827,19.96632,661081.77993
960,472,100.09610,20672015.38816
914,676,128.11918,35374103.37416
741,763,125.29301,31485504.35933
118,376,26.82234,556436.94745
670,183,42.19724,2436634.76030
360, 23,5.65498,23050.83239
308,685,66.46158,6423901.74239
489,240,50.91476,2723712.12517
777,995,144.35137,49784335.96532
 77,575,18.56180,398124.14973
834,184,43.18029,3152121.41555
717,223,50.74113,3795250.03486
686,662,112.27982,22663977.77100
555,470,84.53992,9817718.66264
457,819,94.18930,15955517.03152
480,506,82.08086,8861910.47983
997,943,161.47881,67487620.86555
678,430,85.63736,11227283.97444
245,392,48.99977,2117681.99996
116,402,26.60503,582663.44369
623,877,119.73447,29276630.05984
833,  9,2.24380,8388.62435
323,709,69.52996,7289161.11310
208,474,45.07996,2039045.28844
898,871,147.36508,51230912.16339
  8,102,1.95843,784.32613
163,951,38.85254,2894033.24868
342,404,61.52566,3784649.00435
251,642,55.43694,4125874.43671
163,365,35.21639,960254.76731
830,430,90.17363,14625043.42372
236,161,31.35689,534059.49849
922,294,66.70784,8447499.07461
848,496,101.01480,19182324.32791
883,484,100.18648,19397253.34797
439,422,71.70787,5904793.32787
584, 26,6.42590,48255.75077
496,799,99.39142,17730916.43631
426,120,27.58844,663168.48208
349,131,29.10688,616054.01508
806,551,107.24420,21347013.23374
439,947,94.19134,17907906.19240
221,567,48.83352,2826690.37046
559,743,105.29678,19531903.26089
378,290,54.23572,2653598.19770
536,604,94.49419,13608472.53685
383,160,34.96975,985950.60046
837,798,136.13367,40417869.28977
810,606,114.38164,25079756.90231
824,769,132.51275,37330020.26331
940,417,90.20202,16210866.67924
677,118,28.10120,1078068.86618
825,805,135.80257,40085927.45954
586,679,104.56534,18516360.46525
398,742,82.80691,11091503.87151
264, 38,9.13296,44288.79166
927,412,89.09062,15598687.24272
 42,654,10.32585,139614.88349
411,329,60.54092,3649361.27478
 80,582,19.26484,434188.80782
853,809,138.35438,42440867.22471
214,560,47.42575,2628417.87284
100,965,24.31838,1144602.55460
151,552,34.81344,1366504.31074
634,194,44.22176,2546599.45140
123,928,29.66276,1640718.32174
383,996,84.80097,14954798.84993
864,138,33.01110,1896048.20148
887,611,118.63085,28807376.96957
381,289,54.27572,2668354.52627
866,880,145.48588,49277212.84376
627,887,120.70360,30047463.57358
387,443,68.69579,5240282.12548
631,589,101.48596,16768612.23647
 83,886,20.24099,727658.57245
612,961,121.73737,32190548.07732
342,661,71.74015,7370429.17057
 46,329,11.06937,81050.99322
229,923,53.25524,5326131.60979
318,395,58.38594,3268872.39495
163,482,36.72494,1343608.08805
271,180,35.35393,773910.13512
292,981,66.75787,8966444.17281
 41,884,10.12829,181468.49631
983,730,138.15310,44295005.50645
588,736,108.28427,20891629.15689
455,899,95.90386,17850350.36035
603,367,73.94901,7373732.72022
269,888,61.38479,6868955.89632
532,988,110.58716,26358351.54246
 86,178,18.30254,127828.43079
550,601,95.63448,14056665.92690
703,773,122.58562,29623450.88577
585,462,85.46194,10300528.53557
329,737,71.08624,7899824.54181
437,454,74.20929,6544155.15187
700,739,119.78451,27544866.78889
903,914,151.40826,55539915.26246
431,586,81.84665,9239292.67224
452,145,32.87711,1006314.02766
188,152,27.86035,354822.68678
253,360,48.79951,1989915.64800
389,438,68.55452,5195864.48891
492,608,90.14998,12018265.21349
834,127,30.44818,1556053.16412
 29, 11,2.43731,360.17865
371,101,23.29621,411183.49635
732,772,125.20032,31450560.51226
421,470,73.91375,6505050.62941
572,644,100.80171,16517587.97209
236,423,48.64194,2197743.84873
208,524,45.83335,2305177.31482
651,444,86.48294,11205037.33004
160,708,37.48238,2017687.89362
 12,128,2.92572,2197.32617
807, 50,12.30025,244437.40817
751,795,128.67680,34151750.45823
200,704,45.94257,3040420.12662
310,839,69.03323,8319469.63347
566,412,78.52303,8187158.04465
601,477,88.06761,11257405.04690
944,983,160.48462,66194373.45135
406,234,47.83807,2053458.44324
375,997,83.29742,14415511.49888
490,288,58.57890,3731310.83714
824,487,98.91067,17910497.42252
731,606,109.96518,21697061.63128
345, 11,2.72750,5135.27434
677,593,105.14099,18780430.46453
897,507,104.16251,21425185.21092
